Date,Day Number,New Cases,Cum Cases,Confirmed,Probable,Suspected,Deaths,OB #,Region
27-Mar-14,7,,,,,6,5,15,Sierra Leone
28-Mar-14,8,9,112,24,,10,70,15,Guinea
28-Mar-14,8,,,2,,3,3,15,Liberia
28-Mar-14,8,,,,,2,2,15,Sierra Leone
29-Mar-14,9,4,,2,,7,,15,Liberia
31-Mar-14,11,19,122,24,78,22,80,15,Guinea
31-Mar-14,11,1,8,2,,,2,15,Liberia
31-Mar-14,11,,,,,,2,15,Sierra Leone
1-Apr-14,12,5,127,35,,,83,15,Guinea
1-Apr-14,12,,8,2,,,5,15,Liberia
1-Apr-14,12,,,,,,2,15,Sierra Leone
4-Apr-14,15,16,143,54,,,86,15,Guinea
4-Apr-14,15,4,2,,,18,7,15,Liberia
4-Apr-14,15,,,,,,2,15,Sierra Leone
4-Apr-14,15,,,,,4,,15,Mali
7-Apr-14,18,8,151,54,,,95,15,Guinea
7-Apr-14,18,11,,5,16,,10,15,Liberia
7-Apr-14,18,,,,,,2,15,Sierra Leone
7-Apr-14,18,,,,,6, ,15,Mali
9-Apr-14,20,7,158,66,87,4,101,15,Guinea
10-Apr-14,21,4,,5,,20,,15,Liberia
10-Apr-14,21,,,,,6,,15,Mali
9-Apr-14,20,,,,, ,2,15,Sierra Leone
11-Apr-14,22,1,159,71,34,54,106,,
14-Apr-14,25,9,168,,,,108,15,Guinea
11-Apr-14,22,1,26,6,20,,13,15,Liberia
14-Apr-14,25,,,,,6,,15,Mali
14-Apr-14,25,,,,,,2,15,Sierra Leone
16-Apr-14,27,29,197,101,,,122,15,Guinea
16-Apr-14,27,,,,,0,,15,Mali
16-Apr-14,27,1,27,,,,13,15,Liberia
15-Apr-14,26,12,,,,12,2,15,Sierra Leone
17-Apr-14,28,6,203,109,41,53,129,15,Guinea
17-Apr-14,28,0,,,,,,15,Liberia
20-Apr-14,31,5,208,112,41,55,136,15,Guinea
21-Apr-14,32,7,34,6,2,26,6,15,Liberia
22-Apr-14,33,7,19,0,,19,,15,Sierra Leone
23-Apr-14,34,10,218,115,42,61,141,15,Guinea
24-Apr-14,35,1,35,6,2,27,,15,Liberia
23-Apr-14,34,,,,,3,,15,Sierra Leone
26-Apr-14,37,6,224,121,41,62,143,15,Guinea
1-May-14,42,2,226,127,44,55,149,15,Guinea
2-May-14,43,,13,6,2,5,11,15,Liberia
3-May-14,44,5,231,127,49,55,155,15,Guinea
3-May-14,44,,13,6,2,5,11,15,Liberia
3-May-14,44,0,,,,,,15,Sierra Leone
5-May-14,46,4,235,127,53,55,157,15,Guinea
5-May-14,46,,13,6,2,5,11,15,Liberia
7-May-14,48, ,0,,,,,15,Sierra Leone
7-May-14,48,1,236,129,49,58,158,15,Guinea
10-May-14,51,,233,129,49,55,157,15,Guinea
10-May-14,51,,12,6,2,4,11,15,Liberia
10-May-14,51,,0, , , , ,15,Sierra Leone
12-May-14,53,15,248,138,67,43,171,15,Guinea
12-May-14,53,,12,6,2,4,11,15,Liberia
12-May-14,53,,0,,,,,15,Sierra Leone
23-May-14,64,10,258,146,67,67,174,15,Guinea
23-May-14,64,0,,,,,,15,Liberia/SL
27-May-14,68,23,281,163,66,44,186,15,Guinea
27-May-14,68,4,16,7,,9,5,15,Sierra Leone
27-May-14,68,0,,,,,,15,Liberia
28-May-14,69,10,291,172,71,48,193,15,Guinea
29-May-14,70,34,50,14,3,33,6,15,Sierra Leone
29-May-14,70,1,,,,,,15,Liberia
1-Jun-14,73,37,328,193,80,55,208,15,Guinea
